id,nome,população
Abadia dos Dourados,Abadia dos Dourados,6972
Abaeté,Abaeté,22360
Abre Campo,Abre Campo,13927
Acaiaca,Acaiaca,3909
Aguanil,Aguanil,4357
Aimorés,Aimorés,25141
Aiuruoca,Aiuruoca,6233
Alagoa,Alagoa,2749
Albertina,Albertina,14037
Alfenas,Alfenas,78970
Alfredo Vasconcelos,Alfredo Vasconcelos,5101
Almenara,Almenara,19363
Alpercata,Alpercata,6903
Alpinópolis,Alpinópolis,19958
Alterosa,Alterosa,13915
Alto Caparaó,Alto Caparaó,5795
Alto Jequitibá,Alto Jequitibá,8301
Alto Rio Doce,Alto Rio Doce,10891
Alvarenga,Alvarenga,3783
Alvinópolis,Alvinópolis,15059
Alvorada de Minas,Alvorada de Minas,4159
Além Paraíba,Além Paraíba,30717
Amparo do Serra,Amparo do Serra,19247
Andradas,Andradas,32968
Andrelândia,Andrelândia,11927
Angelândia,Angelândia,7468
Antônio Carlos,Antônio Carlos,11095
Antônio Dias,Antônio Dias,9219
Antônio Prado de Minas,Antônio Prado de Minas,1538
Aracitaba,Aracitaba,18479
Araguari,Araguari,117808
Arantina,Arantina,2915
Araponga,Araponga,8048
Araporã,Araporã,8479
Arapuá,Arapuá,2631
Araxá,Araxá,111691
Araçaí,Araçaí,2181
Araçuaí,Araçuaí,34297
Araújos,Araújos,9199
Arceburgo,Arceburgo,9177
Arcos,Arcos,32687
Areado,Areado,13881
Argirita,Argirita,2688
Aricanduva,Aricanduva,4719
Arinos,Arinos,17272
Astolfo Dutra,Astolfo Dutra,14138
Ataléia,Ataléia,18448
Augusto de Lima,Augusto de Lima,4538
Açucena,Açucena,8943
Baependi,Baependi,17845
Baldim,Baldim,7492
Bambuí,Bambuí,23546
Bandeira,Bandeira,4741
Bandeira do Sul,Bandeira do Sul,5943
Barbacena,Barbacena,2108
Barra Longa,Barra Longa,5666
Barroso,Barroso,20080
Barão de Cocais,Barão de Cocais,30778
Barão do Monte Alto,Barão do Monte Alto,2092
Bela Vista de Minas,Bela Vista de Minas,10167
Belmiro Braga,Belmiro Braga,3244
Belo Horizonte,Belo Horizonte,2315560
Belo Oriente,Belo Oriente,2061
Belo Vale,Belo Vale,8627
Berilo,Berilo,9826
Berizal,Berizal,4201
Bertópolis,Bertópolis,4451
Betim,Betim,306675
Bias Fortes,Bias Fortes,2025
Bicas,Bicas,14554
Biquinhas,Biquinhas,2383
Boa Esperança,Boa Esperança,40219
Bocaina de Minas,Bocaina de Minas,5348
Bocaiúva,Bocaiúva,1992
Bom Despacho,Bom Despacho,17795
Bom Jardim de Minas,Bom Jardim de Minas,6783
Bom Jesus da Penha,Bom Jesus da Penha,4474
Bom Jesus do Amparo,Bom Jesus do Amparo,5631
Bom Jesus do Galho,Bom Jesus do Galho,15195
Bom Repouso,Bom Repouso,14524
Bom Sucesso,Bom Sucesso,17151
Bonfim,Bonfim,7434
Bonfinópolis de Minas,Bonfinópolis de Minas,5528
Bonito de Minas,Bonito de Minas,10204
Borda da Mata,Borda da Mata,17404
Botelhos,Botelhos,14828
Botumirim,Botumirim,5790
Brasilândia de Minas,Brasilândia de Minas,15020
Brasília de Minas,Brasília de Minas,32025
Brazópolis,Brazópolis,14246
Braúnas,Braúnas,4441
Brumadinho,Brumadinho,38915
Brás Pires,Brás Pires,4260
Bueno Brandão,Bueno Brandão,10911
Buenópolis,Buenópolis,9150
Bugre,Bugre,4041
Buritis,Buritis,20396
Buritizeiro,Buritizeiro,23910
Cabeceira Grande,Cabeceira Grande,6627
Cabo Verde,Cabo Verde,11410
Cachoeira Dourada,Cachoeira Dourada,2315
Cachoeira da Prata,Cachoeira da Prata,3693
Cachoeira de Minas,Cachoeira de Minas,10555
Cachoeira de Pajeú,Cachoeira de Pajeú,9110
Caetanópolis,Caetanópolis,11435
Caeté,Caeté,38776
Caiana,Caiana,5304
Cajuri,Cajuri,4088
Caldas,Caldas,14217
Camacho,Camacho,2838
Camanducaia,Camanducaia,26097
Cambuquira,Cambuquira,12313
Cambuí,Cambuí,29536
Campanha,Campanha,15935
Campanário,Campanário,2923
Campestre,Campestre,20696
Campina Verde,Campina Verde,18011
Campo Azul,Campo Azul,3714
Campo Belo,Campo Belo,52277
Campo Florido,Campo Florido,8466
Campo do Meio,Campo do Meio,11377
Campos Altos,Campos Altos,12819
Campos Gerais,Campos Gerais,26105
Cana Verde,Cana Verde,5272
Canaã,Canaã,4548
Candeias,Candeias,14001
Cantagalo,Cantagalo,3974
Canápolis,Canápolis,10608
Caparaó,Caparaó,5048
Capela Nova,Capela Nova,4362
Capelinha,Capelinha,31231
Capetinga,Capetinga,6562
Capim Branco,Capim Branco,10663
Capinópolis,Capinópolis,14655
Capitão Andrade,Capitão Andrade,4585
Capitão Enéas,Capitão Enéas,14108
Capitólio,Capitólio,10380
Caputira,Caputira,8936
Caranaíba,Caranaíba,2933
Carandaí,Carandaí,23812
Carangola,Carangola,31240
Caratinga,Caratinga,12589
Caraí,Caraí,19548
Carbonita,Carbonita,8512
Careaçu,Careaçu,6816
Carlos Chagas,Carlos Chagas,18615
Carmo da Cachoeira,Carmo da Cachoeira,11547
